VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;CO_DISTRITO
CALLE;DE;ALCALA;ALCALÁ;4
CALLE;DE;ALCALA;ALCALÁ;4
CALLE;DE;ALCALA;ALCALÁ;4
CALLE;DE;ALCALA;ALCALÁ;4
CALLE;DE;ALCALA;ALCALÁ;15
CALLE;DE;ALCALA;ALCALÁ;15
CALLE;DE;ALCALA;ALCALÁ;15
CALLE;DE;ALCALA;ALCALÁ;15
CALLE;DE;ALCALA;ALCALÁ;20
CALLE;DE;ALCALA;ALCALÁ;20
CALLE;DE;ALCALA;ALCALÁ;20
CALLE;DE;ALCALA;ALCALÁ;20
CALLE;DE;ALCALA;ALCALÁ;20
CALLE;DE;ALCALA DE GUADAIRA;ALCALÁ DE GUADAIRA;13
CALLE;DE;ALCALA GALIANO;ALCALÁ GALIANO;7
CALLE;DEL;ALCALDE ALFONSO VAZQUEZ;ALCALDE ALFONSO VÁZQUEZ;13
CALLE;DEL;ALCALDE ALVAREZ DE VILLAAMIL;ALCALDE ÁLVAREZ DE VILLAAMIL;16
CALLE;DEL;ALCALDE ANDRES MADRID DAVILA;ALCALDE ANDRÉS MADRID DÁVILA;19
CALLE;DEL;ALCALDE ANDRES MADRID DAVILA;ALCALDE ANDRÉS MADRID DÁVILA;19
CALLE;DEL;ALCALDE ARISTIZABAL MANCHON;ALCALDE ARISTIZÁBAL MANCHÓN;16
PLAZA;DEL;ALCALDE BRELL;ALCALDE BRELL;11
CALLE;DEL;ALCALDE CONDE DE MIRASOL;ALCALDE CONDE DE MIRASOL;16
GLORIETA;DEL;ALCALDE DE CANILLAS CIPRIANO SANTILLANA MORENO;ALCALDE DE CANILLAS CIPRIANO SANTILLANA MORENO;16
GLORIETA;DEL;ALCALDE DE CANILLAS JOAQUIN HERAS JIMENEZ;ALCALDE DE CANILLAS JOAQUÍN HERAS JIMÉNEZ;16
GLORIETA;DEL;ALCALDE DE CANILLAS LUIS HERAS JIMENEZ;ALCALDE DE CANILLAS LUIS HERAS JIMÉNEZ;16
GLORIETA;DEL;ALCALDE DE CANILLAS MARCO AREVALO PEREZ;ALCALDE DE CANILLAS MARCO ARÉVALO PÉREZ;16
GLORIETA;DEL;ALCALDE DE CANILLAS VICENTE LILLO SOLER;ALCALDE DE CANILLAS VICENTE LILLO SOLER;16
GLORIETA;DEL;ALCALDE DE HORTALEZA ANDRES MOLPECERES BARCELO;ALCALDE DE HORTALEZA ANDRÉS MOLPECERES BARCELÓ;16
GLORIETA;DEL;ALCALDE DE HORTALEZA ANGEL MARTINEZ LORENZO;ALCALDE DE HORTALEZA ÁNGEL MARTÍNEZ LORENZO;16
GLORIETA;DEL;ALCALDE DE HORTALEZA RAFAEL ORTEGA LOPEZ;ALCALDE DE HORTALEZA RAFAEL ORTEGA LÓPEZ;16
PLAZUELA;DEL;ALCALDE DE HORTALEZA VICTORIANO ELIPE SANCHEZ;ALCALDE DE HORTALEZA VICTORIANO ELIPE SÁNCHEZ;16
CALLE;DEL;ALCALDE GARRIDO JUARISTI;ALCALDE GARRIDO JUARISTI;14
CALLE;DEL;ALCALDE GARRIDO JUARISTI;ALCALDE GARRIDO JUARISTI;14
CALLE;DEL;ALCALDE HENCHE DE LA PLATA;ALCALDE HENCHE DE LA PLATA;16
CALLE;DEL;ALCALDE JUAN DE MATA SEVILLANO;ALCALDE JUAN DE MATA SEVILLANO;19
CALLE;DEL;ALCALDE LOPEZ CASERO;ALCALDE LÓPEZ CASERO;15
CALLE;DEL;ALCALDE LOPEZ CASERO;ALCALDE LÓPEZ CASERO;15
CALLE;DEL;ALCALDE LUIS MARICHALAR;ALCALDE LUIS MARICHALAR;14
CALLE;DEL;ALCALDE LUIS SILVELA;ALCALDE LUIS SILVELA;20
CALLE;DEL;ALCALDE MARTIN DE ALZAGA;ALCALDE MARTÍN DE ALZAGA;9
PLAZA;DEL;ALCALDE MORENO TORRES;ALCALDE MORENO TORRES;16
CALLE;DE;ALCALDE PEDRO ESCARBASSIERE;ALCALDE PEDRO ESCARBASSIERE;19
CALLE;DEL;ALCALDE PEDRO GUTIERREZ;ALCALDE PEDRO GUTIÉRREZ;19
CALLE;DEL;ALCALDE REDONDO ACEÑA;ALCALDE REDONDO ACEÑA;16
CALLE;DEL;ALCALDE SAINZ DE BARANDA;ALCALDE SAINZ DE BARANDA;3
CALLE;DEL;ALCALDE SAINZ DE BARANDA;ALCALDE SAINZ DE BARANDA;3
CALLE;DEL;ALCALDE SAINZ DE BARANDA;ALCALDE SAINZ DE BARANDA;3
CALLE;DEL;ALCALDE SAINZ DE BARANDA;ALCALDE SAINZ DE BARANDA;4
CALLE;DE LA;ALCANCIA;ALCANCÍA;9
CALLE;DE;ALCANTARA;ALCÁNTARA;4
CALLE;DE;ALCANTARA;ALCÁNTARA;4
CALLE;DE;ALCAÑICES;ALCAÑICES;20
CALLE;DE;ALCAÑIZ;ALCAÑIZ;21
CALLE;DE;ALCAÑIZ;ALCAÑIZ;21
CALLE;DEL;ALCARAVAN;ALCARAVÁN;10
CALLE;DE;ALCARAZ;ALCARAZ;16
CALLE;DE LA;ALCARRIA;ALCARRIA;17
CALLE;DEL;ALCATRAZ;ALCATRAZ;11
