id_sensor;intensidad;dia;mes;año
4090.0;720.0;26;2;2026
4091.0;300.0;26;2;2026
4092.0;120.0;26;2;2026
4110.0;2220.0;26;2;2026
4111.0;120.0;26;2;2026
4112.0;2156.0;26;2;2026
3729.0;588.0;26;2;2026
4113.0;1320.0;26;2;2026
4114.0;3149.0;26;2;2026
4115.0;1380.0;26;2;2026
4116.0;1440.0;26;2;2026
4117.0;60.0;26;2;2026
4118.0;180.0;26;2;2026
4119.0;780.0;26;2;2026
4120.0;120.0;26;2;2026
4122.0;1200.0;26;2;2026
4123.0;0.0;26;2;2026
4124.0;420.0;26;2;2026
4125.0;264.0;26;2;2026
4155.0;540.0;26;2;2026
3758.0;120.0;26;2;2026
3759.0;120.0;26;2;2026
3523.0;1200.0;26;2;2026
4156.0;120.0;26;2;2026
4157.0;600.0;26;2;2026
4158.0;0.0;26;2;2026
4159.0;720.0;26;2;2026
3653.0;780.0;26;2;2026
3683.0;300.0;26;2;2026
3654.0;780.0;26;2;2026
4160.0;120.0;26;2;2026
4161.0;420.0;26;2;2026
4162.0;360.0;26;2;2026
4163.0;180.0;26;2;2026
4164.0;2248.0;26;2;2026
4165.0;703.0;26;2;2026
4166.0;898.0;26;2;2026
3463.0;180.0;26;2;2026
3464.0;60.0;26;2;2026
4170.0;180.0;26;2;2026
7041.0;1440.0;26;2;2026
4172.0;720.0;26;2;2026
4173.0;900.0;26;2;2026
3691.0;1869.0;26;2;2026
3718.0;1821.0;26;2;2026
3719.0;300.0;26;2;2026
4174.0;720.0;26;2;2026
4175.0;470.0;26;2;2026
4176.0;60.0;26;2;2026
4177.0;60.0;26;2;2026
4178.0;60.0;26;2;2026
4179.0;180.0;26;2;2026
3692.0;360.0;26;2;2026
4180.0;1500.0;26;2;2026
4181.0;960.0;26;2;2026
4182.0;720.0;26;2;2026
4184.0;2100.0;26;2;2026
4185.0;300.0;26;2;2026
4186.0;300.0;26;2;2026
4187.0;420.0;26;2;2026
3585.0;0.0;26;2;2026
3586.0;360.0;26;2;2026
4188.0;61.0;26;2;2026
4189.0;180.0;26;2;2026
4190.0;379.0;26;2;2026
3465.0;1142.0;26;2;2026
3466.0;648.0;26;2;2026
3467.0;240.0;26;2;2026
4194.0;2460.0;26;2;2026
4195.0;300.0;26;2;2026
4196.0;60.0;26;2;2026
4197.0;2040.0;26;2;2026
4171.0;2340.0;26;2;2026
5080.0;420.0;26;2;2026
7136.0;1474.0;26;2;2026
7137.0;300.0;26;2;2026
7138.0;960.0;26;2;2026
7139.0;1992.0;26;2;2026
7113.0;840.0;26;2;2026
4243.0;2400.0;26;2;2026
3671.0;6060.0;26;2;2026
4244.0;1260.0;26;2;2026
4245.0;180.0;26;2;2026
4246.0;960.0;26;2;2026
4247.0;1200.0;26;2;2026
4248.0;300.0;26;2;2026
4249.0;1020.0;26;2;2026
4250.0;480.0;26;2;2026
4251.0;360.0;26;2;2026
4252.0;540.0;26;2;2026
10528.0;180.0;26;2;2026
10639.0;120.0;26;2;2026
7090.0;1620.0;26;2;2026
