idelem;lon;lat;district_code;district_name
10370;-3.705669;40.502413;NA;NA
10371;-3.705551;40.502376;NA;NA
10372;-3.701929;40.502214;NA;NA
10373;-3.701829;40.502177;NA;NA
10374;-3.702733;40.502758;NA;NA
10375;-3.702681;40.502850;NA;NA
10376;-3.704511;40.505988;NA;NA
10377;-3.703613;40.505461;NA;NA
10378;-3.703507;40.505426;NA;NA
10381;-3.704559;40.504944;NA;NA
10382;-3.704603;40.504924;NA;NA
10383;-3.705514;40.505529;NA;NA
10384;-3.705665;40.505571;NA;NA
10386;-3.706808;40.420762;NA;NA
10387;-3.705074;40.420283;NA;NA
10388;-3.705669;40.420287;NA;NA
10389;-3.770332;40.392687;NA;NA
10390;-3.770280;40.392727;NA;NA
10392;-3.769008;40.391774;NA;NA
10394;-3.770686;40.393618;NA;NA
10395;-3.771921;40.393538;NA;NA
10400;-3.594488;40.403885;NA;NA
10401;-3.704471;40.355670;NA;NA
10402;-3.703619;40.356056;NA;NA
10403;-3.703788;40.356861;NA;NA
10404;-3.729420;40.489535;NA;NA
10405;-3.729899;40.489528;NA;NA
10406;-3.728802;40.488766;NA;NA
10407;-3.721174;40.412944;NA;NA
10408;-3.722859;40.413987;NA;NA
10410;-3.684172;40.453757;NA;NA
10411;-3.655925;40.498469;NA;NA
10412;-3.700507;40.503745;NA;NA
10413;-3.699749;40.504242;NA;NA
10414;-3.700614;40.504687;NA;NA
10415;-3.695835;40.506740;NA;NA
10416;-3.695826;40.506058;NA;NA
10417;-3.696826;40.506509;NA;NA
10418;-3.767590;40.390273;NA;NA
10419;-3.705588;40.503508;NA;NA
10420;-3.704702;40.503849;NA;NA
10421;-3.704658;40.503853;NA;NA
10422;-3.676093;40.348931;NA;NA
10423;-3.704747;40.502894;NA;NA
10424;-3.736158;40.410788;NA;NA
10425;-3.735439;40.411132;NA;NA
10426;-3.733085;40.411930;NA;NA
10427;-3.697943;40.411721;NA;NA
10428;-3.732392;40.412261;NA;NA
10429;-3.725220;40.414068;NA;NA
10430;-3.726965;40.413785;NA;NA
10431;-3.707029;40.502035;NA;NA
10432;-3.706499;40.501342;NA;NA
10433;-3.707916;40.500654;NA;NA
10434;-3.707899;40.501004;NA;NA
10435;-3.657758;40.455197;NA;NA
10436;-3.659995;40.454005;NA;NA
10437;-3.660508;40.452512;NA;NA
10438;-3.660125;40.451562;NA;NA
10439;-3.658217;40.451404;NA;NA
10440;-3.658467;40.450373;NA;NA
10441;-3.697171;40.504135;NA;NA
10442;-3.696689;40.504909;NA;NA
10443;-3.695895;40.504345;NA;NA
10444;-3.692202;40.456635;NA;NA
10445;-3.635935;40.432297;NA;NA
10446;-3.636280;40.431286;NA;NA
10447;-3.647905;40.428921;NA;NA
10448;-3.645653;40.429113;NA;NA
10449;-3.640945;40.430010;NA;NA
10450;-3.641570;40.429937;NA;NA
10451;-3.643382;40.429396;NA;NA
10452;-3.644364;40.429363;NA;NA
10453;-3.647011;40.429033;NA;NA
10454;-3.646494;40.428998;NA;NA
10455;-3.648245;40.428780;NA;NA
10456;-3.650999;40.493291;NA;NA
10457;-3.648449;40.495774;NA;NA
10458;-3.653759;40.490743;NA;NA
10459;-3.658179;40.490008;NA;NA
10460;-3.661664;40.491970;NA;NA
10461;-3.661844;40.490609;NA;NA
10462;-3.659842;40.492218;NA;NA
10463;-3.698619;40.484190;NA;NA
10467;-3.732417;40.431560;NA;NA
10469;-3.690807;40.443632;NA;NA
10470;-3.686920;40.455975;NA;NA
10472;-3.622916;40.438720;NA;NA
10473;-3.625215;40.438060;NA;NA
10474;-3.625628;40.437983;NA;NA
10475;-3.620798;40.436647;NA;NA
10476;-3.621677;40.438340;NA;NA
10477;-3.618909;40.438020;NA;NA
10478;-3.628608;40.437101;NA;NA
10479;-3.624071;40.436055;NA;NA
10480;-3.627684;40.434865;NA;NA
10481;-3.627847;40.434863;NA;NA
10482;-3.630402;40.434217;NA;NA
10483;-3.630248;40.434195;NA;NA
10484;-3.628851;40.433734;NA;NA
10485;-3.627060;40.435844;NA;NA
10486;-3.625993;40.433953;NA;NA
10487;-3.702152;40.381126;NA;NA
10488;-3.700825;40.381897;NA;NA
10489;-3.701110;40.381022;NA;NA
10492;-3.695962;40.357141;NA;NA
10493;-3.695924;40.357174;NA;NA
10494;-3.695441;40.355876;NA;NA
10495;-3.753990;40.375807;NA;NA
10496;-3.753549;40.375125;NA;NA
10497;-3.754924;40.374929;NA;NA
10498;-3.713742;40.434283;NA;NA
10499;-3.714440;40.433843;NA;NA
10500;-3.732886;40.374620;NA;NA
10501;-3.731489;40.375590;NA;NA
10502;-3.730294;40.376763;NA;NA
10503;-3.731037;40.376428;NA;NA
10504;-3.728626;40.377955;NA;NA
10505;-3.728328;40.378731;NA;NA
10506;-3.727465;40.379097;NA;NA
10507;-3.725709;40.380359;NA;NA
10508;-3.725749;40.380386;NA;NA
10509;-3.726292;40.381235;NA;NA
10510;-3.724832;40.381270;NA;NA
10511;-3.723367;40.410202;NA;NA
10512;-3.787560;40.459246;NA;NA
10513;-3.786230;40.459371;NA;NA
10514;-3.780598;40.455909;NA;NA
10515;-3.772975;40.451382;NA;NA
10516;-3.770633;40.451476;NA;NA
10517;-3.782403;40.453142;NA;NA
10518;-3.782279;40.452154;NA;NA
10519;-3.783330;40.452278;NA;NA
10520;-3.779871;40.456314;NA;NA
10521;-3.780832;40.456549;NA;NA
10522;-3.779853;40.456958;NA;NA
10523;-3.791461;40.461354;NA;NA
10524;-3.792382;40.461953;NA;NA
10525;-3.793452;40.461207;NA;NA
10526;-3.794009;40.462583;NA;NA
10527;-3.700254;40.416984;NA;NA
10528;-3.698944;40.418072;NA;NA
10529;-3.666375;40.505413;NA;NA
10530;-3.700348;40.416852;NA;NA
10531;-3.731217;40.488012;NA;NA
10532;-3.732460;40.487244;NA;NA
10533;-3.731288;40.487311;NA;NA
10534;-3.733606;40.488718;NA;NA
10535;-3.732588;40.489619;NA;NA
10536;-3.731717;40.490455;NA;NA
10537;-3.731253;40.490455;NA;NA
10538;-3.610753;40.447658;NA;NA
10539;-3.612190;40.446628;NA;NA
10540;-3.609207;40.448709;NA;NA
10541;-3.621516;40.442327;NA;NA
10542;-3.625943;40.446320;NA;NA
10543;-3.625790;40.446434;NA;NA
10544;-3.626330;40.449232;NA;NA
10545;-3.625601;40.445035;NA;NA
10546;-3.625016;40.444415;NA;NA
10547;-3.623750;40.442402;NA;NA
10548;-3.618923;40.443104;NA;NA
10549;-3.619713;40.442192;NA;NA
10550;-3.628374;40.440547;NA;NA
10551;-3.611946;40.446843;NA;NA
10552;-3.634206;40.438876;NA;NA
10553;-3.632465;40.438797;NA;NA
10554;-3.632464;40.440179;NA;NA
10555;-3.631200;40.439694;NA;NA
10556;-3.630843;40.439881;NA;NA
10557;-3.626459;40.440993;NA;NA
10558;-3.626838;40.440953;NA;NA
10559;-3.629036;40.440281;NA;NA
10560;-3.712375;40.442778;NA;NA
10561;-3.612074;40.447399;NA;NA
10562;-3.665285;40.512432;NA;NA
10563;-3.664440;40.512048;NA;NA
10564;-3.662889;40.512523;NA;NA
10565;-3.663848;40.513194;NA;NA
10566;-3.665657;40.514352;NA;NA
10567;-3.664680;40.513596;NA;NA
10568;-3.693137;40.354004;NA;NA
10569;-3.693044;40.354837;NA;NA
10570;-3.728703;40.413884;NA;NA
10571;-3.730514;40.414032;NA;NA
10572;-3.728995;40.414872;NA;NA
10573;-3.730425;40.415001;NA;NA
10574;-3.730203;40.387574;NA;NA
10575;-3.729052;40.386810;NA;NA
10576;-3.727104;40.385996;NA;NA
10577;-3.724981;40.385593;NA;NA
10578;-3.723161;40.385330;NA;NA
10579;-3.720831;40.385197;NA;NA
10580;-3.719839;40.385188;NA;NA
10581;-3.715347;40.385224;NA;NA
10582;-3.713794;40.385135;NA;NA
10583;-3.695880;40.506765;NA;NA
10584;-3.697590;40.505071;NA;NA
10585;-3.761971;40.363373;NA;NA
10586;-3.755322;40.362148;NA;NA
10587;-3.752461;40.362274;NA;NA
10588;-3.750776;40.362028;NA;NA
10589;-3.749092;40.362693;NA;NA
10590;-3.746670;40.362918;NA;NA
10591;-3.671069;40.507442;NA;NA
10592;-3.744346;40.364893;NA;NA
10593;-3.743820;40.365678;NA;NA
10594;-3.745490;40.365134;NA;NA
10595;-3.744885;40.363309;NA;NA
10596;-3.745020;40.363577;NA;NA
10597;-3.742570;40.363508;NA;NA
10598;-3.741832;40.366456;NA;NA
10599;-3.740061;40.367012;NA;NA
10600;-3.740134;40.368674;NA;NA
10601;-3.735066;40.372642;NA;NA
10602;-3.708662;40.434140;NA;NA
10603;-3.709393;40.435146;NA;NA
10604;-3.711768;40.431216;NA;NA
10605;-3.711267;40.431714;NA;NA
10606;-3.683080;40.438540;NA;NA
10607;-3.682930;40.440199;NA;NA
10608;-3.700742;40.416646;NA;NA
10609;-3.712026;40.390020;NA;NA
10610;-3.711980;40.390037;NA;NA
10611;-3.711729;40.389665;NA;NA
10612;-3.711913;40.388841;NA;NA
10613;-3.719458;40.386412;NA;NA
10614;-3.719089;40.385831;NA;NA
10615;-3.719732;40.385814;NA;NA
10616;-3.729487;40.388427;NA;NA
10617;-3.728808;40.387993;NA;NA
10618;-3.728441;40.388319;NA;NA
10619;-3.758234;40.371448;NA;NA
10620;-3.605866;40.445920;NA;NA
10621;-3.605492;40.446148;NA;NA
10622;-3.605077;40.446066;NA;NA
10623;-3.604858;40.445789;NA;NA
10624;-3.605559;40.446817;NA;NA
10625;-3.602104;40.431374;NA;NA
10626;-3.602674;40.430613;NA;NA
10627;-3.601901;40.430494;NA;NA
10628;-3.601764;40.430219;NA;NA
10629;-3.602468;40.429910;NA;NA
10630;-3.601036;40.430122;NA;NA
10631;-3.601618;40.429550;NA;NA
10632;-3.601596;40.429157;NA;NA
10633;-3.602180;40.428524;NA;NA
10634;-3.600563;40.428759;NA;NA
10635;-3.601292;40.427852;NA;NA
10636;-3.601268;40.428059;NA;NA
10637;-3.727330;40.387694;NA;NA
10638;-3.727294;40.387191;NA;NA
10639;-3.699011;40.417925;NA;NA
10640;-3.717686;40.485679;NA;NA
10641;-3.717720;40.486804;NA;NA
10642;-3.715872;40.486649;NA;NA
10643;-3.716551;40.487524;NA;NA
10644;-3.717391;40.488288;NA;NA
10645;-3.714518;40.424158;NA;NA
10646;-3.714126;40.424842;NA;NA
10647;-3.714071;40.423938;NA;NA
10648;-3.720035;40.404043;NA;NA
10649;-3.718560;40.404201;NA;NA
10650;-3.716686;40.404465;NA;NA
10651;-3.631197;40.469752;NA;NA
10652;-3.759106;40.362347;NA;NA
10653;-3.759104;40.362399;NA;NA
10654;-3.756295;40.362491;NA;NA
10655;-3.756301;40.362432;NA;NA
10656;-3.757855;40.361608;NA;NA
10657;-3.757733;40.363398;NA;NA
10658;-3.719867;40.402569;NA;NA
10659;-3.746282;40.461579;NA;NA
10660;-3.737925;40.434018;NA;NA
10661;-3.659968;40.433430;NA;NA
10662;-3.658963;40.419298;NA;NA
10663;-3.716267;40.489627;NA;NA
10664;-3.714920;40.490960;NA;NA
10665;-3.717653;40.490556;NA;NA
10666;-3.718522;40.494920;NA;NA
10667;-3.717117;40.494607;NA;NA
10668;-3.716938;40.493458;NA;NA
10669;-3.641988;40.409474;NA;NA
10670;-3.640355;40.408727;NA;NA
10671;-3.634830;40.408973;NA;NA
10672;-3.635048;40.407315;NA;NA
10673;-3.637272;40.408884;NA;NA
